Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23480.810547,23632.349609,23464.25,23605.039062,1049000500,23605.039062
2014-12-30,23853.130859,23853.130859,23442.550781,23501.099609,1768219600,23501.099609
2014-12-29,23694.529297,23867.460938,23694.529297,23773.179688,2133261200,23773.179688
2014-12-24,23290.419922,23421.099609,23290.419922,23349.339844,740670200,23349.339844
2014-12-23,23423.330078,23495.619141,23269.429688,23333.689453,1758917200,23333.689453
2014-12-22,23264.050781,23478.900391,23264.050781,23408.570312,2999590400,23408.570312
2014-12-19,23158.269531,23189.599609,23041.369141,23116.630859,2309125200,23116.630859
2014-12-18,22878.339844,22935.050781,22736.890625,22832.210938,2306262800,22832.210938
2014-12-17,22697.679688,22726.560547,22529.75,22585.839844,2560931200,22585.839844
2014-12-16,22877.300781,22944.279297,22641.060547,22670.50,2158881200,22670.50
2014-12-15,22977.839844,23067.669922,22856.019531,23027.849609,1660208200,23027.849609
2014-12-12,23328.990234,23445.960938,23230.029297,23249.199219,1641040200,23249.199219
2014-12-11,23269.509766,23382.830078,23169.669922,23312.539062,2425752400,23312.539062
2014-12-10,23442.689453,23656.509766,23345.890625,23524.519531,2306279600,23524.519531
2014-12-09,23910.410156,23934.019531,23399.869141,23485.830078,3871778400,23485.830078
2014-12-08,24113.140625,24189.589844,24012.150391,24047.669922,3826528800,24047.669922
2014-12-05,23907.779297,24170.050781,23772.839844,24002.640625,5025800800,24002.640625
2014-12-04,23554.810547,23844.240234,23456.710938,23832.560547,3561982000,23832.560547
2014-12-03,23756.050781,23921.759766,23378.810547,23428.619141,3224756000,23428.619141
2014-12-02,23400.109375,23784.949219,23293.810547,23654.300781,2843136400,23654.300781
2014-12-01,23678.00,23731.759766,23318.480469,23367.449219,3135486800,23367.449219
2014-11-28,23982.289062,24117.160156,23887.630859,23987.449219,3154786600,23987.449219
2014-11-27,24169.849609,24228.109375,23962.439453,24004.279297,1813709000,24004.279297
2014-11-26,23833.189453,24176.640625,23799.419922,24111.980469,2225233000,24111.980469
2014-11-25,23841.160156,23935.070312,23809.509766,23843.910156,2083502400,23843.910156
2014-11-24,23883.320312,23936.339844,23823.560547,23893.140625,2862178800,23893.140625
2014-11-21,23353.720703,23508.019531,23301.480469,23437.119141,1519033000,23437.119141
2014-11-20,23401.00,23461.019531,23252.630859,23349.640625,1354803900,23349.640625
2014-11-19,23466.070312,23572.210938,23341.160156,23373.310547,1413766400,23373.310547
2014-11-18,23868.900391,23881.009766,23483.189453,23529.169922,1543729000,23529.169922
2014-11-17,24313.060547,24313.060547,23787.279297,23797.080078,1728117200,23797.080078
2014-11-14,24048.359375,24102.699219,23966.800781,24087.380859,1489760000,24087.380859
2014-11-13,23854.330078,24097.919922,23850.390625,24019.939453,2063618400,24019.939453
2014-11-12,23883.310547,23999.970703,23801.730469,23938.179688,1788489800,23938.179688
2014-11-11,23809.410156,23931.449219,23760.529297,23808.279297,3418160000,23808.279297
2014-11-10,24074.849609,24110.240234,23703.720703,23744.699219,1974456400,23744.699219
2014-11-07,23607.650391,23831.25,23430.199219,23550.240234,1609859600,23550.240234
2014-11-06,23737.759766,23775.730469,23623.410156,23649.310547,1055438900,23649.310547
2014-11-05,23846.839844,23846.839844,23623.140625,23695.619141,1357402800,23695.619141
2014-11-04,23849.720703,24016.419922,23815.849609,23845.660156,1317633400,23845.660156
2014-11-03,24133.449219,24133.449219,23875.089844,23915.970703,1328913600,23915.970703
2014-10-31,23913.689453,24046.400391,23850.699219,23998.060547,2057439600,23998.060547
2014-10-30,23841.740234,23841.740234,23615.099609,23702.039062,1606507400,23702.039062
2014-10-29,23703.949219,23855.669922,23699.560547,23819.869141,2017536000,23819.869141
2014-10-28,23189.830078,23570.919922,23189.830078,23520.359375,1889124800,23520.359375
2014-10-27,23275.400391,23275.400391,23012.800781,23143.230469,1229644700,23143.230469
2014-10-24,23311.880859,23352.589844,23157.480469,23302.199219,1201348100,23302.199219
2014-10-23,23296.00,23397.169922,23221.689453,23333.179688,1038977500,23333.179688
2014-10-22,23300.449219,23460.769531,23193.480469,23403.970703,1732875600,23403.970703
2014-10-21,23073.359375,23231.519531,22964.919922,23088.580078,1026480700,23088.580078
2014-10-20,23239.779297,23290.419922,23052.310547,23070.259766,1182134200,23070.259766
2014-10-17,22904.109375,23148.960938,22888.759766,23023.210938,1853604000,23023.210938
2014-10-16,22913.50,23040.310547,22868.019531,22900.939453,1533465700,22900.939453
2014-10-15,23087.50,23238.039062,22992.929688,23140.050781,1444933800,23140.050781
2014-10-14,23064.919922,23409.960938,23040.800781,23047.970703,1526000000,23047.970703
2014-10-13,22884.00,23273.039062,22871.269531,23143.380859,1407205100,23143.380859
2014-10-10,23198.800781,23237.400391,23071.269531,23088.539062,1401319800,23088.539062
2014-10-09,23461.349609,23581.349609,23437.869141,23534.529297,1126451700,23534.529297
2014-10-08,23221.759766,23369.390625,23184.150391,23263.330078,1253137400,23263.330078
2014-10-07,23224.220703,23517.849609,23209.769531,23422.519531,1635901200,23422.519531
2014-10-06,23053.789062,23441.269531,22988.640625,23315.039062,1643058200,23315.039062
2014-10-03,22691.589844,23147.849609,22565.599609,23064.560547,2577564200,23064.560547
2014-09-30,23137.259766,23137.259766,22855.039062,22932.980469,2189776800,22932.980469
2014-09-29,23399.509766,23399.509766,23095.779297,23229.210938,2230550000,23229.210938
2014-09-26,23581.560547,23717.080078,23555.619141,23678.410156,1341458700,23678.410156
2014-09-25,24048.380859,24058.019531,23754.330078,23768.130859,1573165300,23768.130859
2014-09-24,23788.980469,24016.410156,23788.980469,23921.609375,1368936900,23921.609375
2014-09-23,23882.589844,24012.060547,23825.960938,23837.070312,1417171900,23837.070312
2014-09-22,24072.179688,24082.619141,23949.289062,23955.490234,1723753000,23955.490234
2014-09-19,24334.650391,24419.849609,24155.619141,24306.160156,1924823200,24306.160156
2014-09-18,24294.640625,24294.640625,24103.529297,24168.720703,1459432200,24168.720703
2014-09-17,24380.279297,24470.259766,24339.529297,24376.410156,1793779800,24376.410156
2014-09-16,24318.820312,24405.980469,24117.599609,24136.009766,1282321900,24136.009766
2014-09-15,24410.380859,24471.800781,24300.570312,24356.990234,1479611400,24356.990234
2014-09-12,24620.189453,24701.429688,24487.939453,24595.320312,1233952200,24595.320312
2014-09-11,24701.730469,24782.949219,24589.900391,24662.640625,1443804300,24662.640625
2014-09-10,24969.390625,24969.390625,24681.189453,24705.359375,1748442400,24705.359375
2014-09-08,25293.089844,25293.089844,25074.019531,25190.449219,1272235200,25190.449219
2014-09-05,25356.560547,25356.560547,25171.589844,25240.150391,2163836000,25240.150391
2014-09-04,25268.439453,25362.980469,25193.369141,25297.919922,1980862400,25297.919922
2014-09-03,24786.039062,25325.160156,24751.720703,25317.949219,2535276000,25317.949219
2014-09-02,24699.759766,24816.890625,24576.230469,24749.019531,1646363800,24749.019531
2014-09-01,24703.740234,24891.269531,24696.179688,24752.089844,1447773700,24752.089844
2014-08-29,24748.189453,24814.269531,24630.800781,24742.060547,1711541400,24742.060547
2014-08-28,25055.810547,25055.810547,24679.099609,24741.00,1533360500,24741.00
2014-08-27,25134.490234,25160.679688,24883.460938,24918.75,1468393800,24918.75
2014-08-26,25147.75,25188.310547,25068.980469,25074.50,1252881600,25074.50
2014-08-25,25049.960938,25243.160156,24946.849609,25166.910156,1333447300,25166.910156
2014-08-22,25113.730469,25132.929688,25025.939453,25112.230469,1183283100,25112.230469
2014-08-21,25142.339844,25142.339844,24896.199219,24994.099609,1460054900,24994.099609
2014-08-20,25156.949219,25190.029297,25056.710938,25159.759766,1238095000,25159.759766
2014-08-19,25045.550781,25201.210938,24909.259766,25122.949219,1466514800,25122.949219
2014-08-18,24943.599609,24978.939453,24765.029297,24955.460938,1281516900,24955.460938
2014-08-15,24969.720703,25010.310547,24872.710938,24954.939453,1150210700,24954.939453
2014-08-14,24894.179688,24964.419922,24721.869141,24801.359375,1456861200,24801.359375
2014-08-13,24726.240234,24907.109375,24611.220703,24890.339844,1466903100,24890.339844
2014-08-12,24668.570312,24691.660156,24552.419922,24689.410156,1028234700,24689.410156
2014-08-11,24533.339844,24671.330078,24491.019531,24646.019531,1129853600,24646.019531
2014-08-08,24307.099609,24493.009766,24190.929688,24331.410156,1341692800,24331.410156
2014-08-07,24498.830078,24502.300781,24364.580078,24387.560547,1233420500,24387.560547
